cik,series_id,name,series,total_assets,total_liabilities,cash,file_name
0001605941,S000052766,1290 Funds,1290 DoubleLine Dynamic Allocation Fund,62750360.39,190927.56,1829874.08,data/xml/0.txt
0001605941,S000052767,1290 Funds,1290 Retirement 2060 Fund,3750517.84,22631.18,22306.26,data/xml/1.txt
0001605941,S000052768,1290 Funds,1290 Retirement 2020 Fund,11352932.07,29830.84,0.0,data/xml/10.txt
0000825316,S000049082,AB VARIABLE PRODUCTS SERIES FUND INC.,AB Global Risk Allocation-Moderate Portfolio,96558415.63,1401996.55,2926469.3,data/xml/100.txt
0001423227,S000033713,Allianz Funds Multi-Strategy Trust,AllianzGI Short Duration High Income Fund,1559061888.76,5873909.77,118826.96,data/xml/1000.txt
0000802716,S000053569,Victory Portfolios,Victory INCORE Investment Quality Bond Fund,32261778.23,771337.9,684015.18,data/xml/10000.txt
0000802716,S000053561,Victory Portfolios,Victory RS Partners Fund,437700758.98,9154412.47,14961672.11,data/xml/10001.txt
0000802716,S000053577,Victory Portfolios,Victory RS Growth Fund,268812046.43,8998336.53,721775.71,data/xml/10002.txt
0000802716,S000053574,Victory Portfolios,Victory High Income Municipal Bond Fund,43849874.62,180676.99,1396726.23,data/xml/10003.txt
0000802716,S000053571,Victory Portfolios,Victory INCORE Low Duration Bond Fund,271161775.54,3257821.06,4600372.83,data/xml/10004.txt
0000802716,S000053580,Victory Portfolios,Victory RS Small Cap Equity Fund,76731728.74,6816978.04,1789137.9,data/xml/10005.txt
0000802716,S000053562,Victory Portfolios,Victory RS Value Fund,399482572.73,9245204.13,16984063.34,data/xml/10006.txt
0000802716,S000053581,Victory Portfolios,Victory RS Small Cap Growth Fund,2584252052.37,290434291.55,58613141.03,data/xml/10007.txt
0000802716,S000053581,Victory Portfolios,Victory RS Small Cap Growth Fund,2584252052.37,290434291.55,58613141.03,data/xml/10008.txt
0000802716,S000053583,Victory Portfolios,Victory RS Investors Fund,44422023.49,262885.57,1827104.31,data/xml/10009.txt
0001423227,S000061526,Allianz Funds Multi-Strategy Trust,AllianzGI Core Bond Fund,43756298.84,9160108.67,641868.82,data/xml/1001.txt
0000802716,S000053560,Victory Portfolios,Victory RS Large Cap Alpha Fund,571816094.99,7110779.17,20328384.42,data/xml/10010.txt
